PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,19,11,2,13,5,0,95,84,73,30.74,30.61,30.40,10,6,0,9,4,11,0.00,1,Fog,7
2016-1-2,18,10,1,10,5,-3,95,84,73,30.51,30.45,30.33,10,9,4,10,3,11,T,1,Fog-Snow,28
2016-1-3,24,16,7,21,15,5,92,86,80,30.32,30.13,29.91,10,6,1,16,9,19,0.09,7,Snow,46
2016-1-4,31,27,23,25,23,21,92,85,78,30.00,29.90,29.80,10,9,7,13,9,,T,7,Snow,50
2016-1-5,36,31,26,30,28,25,92,84,75,29.76,29.73,29.68,10,10,5,16,9,20,0.02,6,Rain-Snow,54
2016-1-6,36,34,32,33,31,29,100,91,82,29.78,29.75,29.70,10,8,1,13,7,17,T,8,Fog-Rain-Snow,49
2016-1-7,34,33,31,32,31,28,100,96,92,30.03,29.90,29.73,7,2,0,10,5,11,T,8,Fog-Rain-Snow,224
2016-1-8,34,32,29,32,31,28,100,95,89,30.15,30.08,29.97,7,2,0,6,2,7,T,7,Fog-Snow,217
2016-1-9,38,32,26,32,29,25,100,91,82,30.31,30.17,30.07,9,2,0,14,3,16,0.00,7,Fog,211
2016-1-10,30,29,27,26,25,23,100,89,78,30.43,30.36,30.25,10,8,0,8,4,10,T,8,Fog-Snow,162
2016-1-11,31,27,22,28,24,21,100,86,72,30.38,30.32,30.25,10,5,0,9,3,11,0.02,7,Fog-Snow,157
2016-1-12,36,33,29,34,30,27,100,91,82,30.31,30.12,29.84,10,6,4,17,6,23,0.28,8,Rain-Snow,80
2016-1-13,39,35,31,35,33,30,92,86,79,29.86,29.74,29.64,10,6,0,21,15,26,0.24,8,Fog-Rain-Snow,197
2016-1-14,35,30,24,30,28,24,100,91,82,30.01,29.92,29.81,10,8,0,20,8,24,0.00,6,Fog,209
2016-1-15,31,25,18,29,25,16,100,92,84,30.10,30.01,29.86,3,1,0,8,3,9,0.02,7,Fog-Snow,121
2016-1-16,34,32,30,34,31,29,100,96,92,30.06,29.96,29.87,2,1,0,12,5,13,0.30,8,Fog-Rain-Snow,84
2016-1-17,38,35,32,36,33,32,100,93,85,30.09,29.95,29.81,10,2,0,15,6,19,0.19,8,Fog-Rain,124
2016-1-18,37,35,32,35,33,32,100,96,92,30.11,30.05,29.89,8,1,0,13,5,15,T,8,Fog-Rain,170
2016-1-19,37,34,30,33,32,31,100,96,80,30.03,29.96,29.89,10,5,0,7,4,,0.03,7,Fog-Rain,77
